Account,ShareOfChargesLOC,ShareOfFXLOC
ABD131669,16.17,32.35
ABD130822,88.76,37.67
ABD130822,88.76,37.67
ABD130723,72.6,77.44
ABD137467,73.14,9.68
ABD133429,71.19,17.08
ABD131757,26.96,165.32
ABD131757,26.96,165.32
ABD131351,74.23,0
ABD131351,74.23,0
ABD132505,98.48,49.12
ABD132505,98.48,49.12
ABD131878,23.87,31.59
ABD132143,592.83,530.71
ABD132143,592.83,530.71
ABD131373,26.96,37.14
ABD131373,26.96,37.14
ABD133528,26.96,3.59
ABD133528,26.96,3.59
ABD130899,25.7,349.92
ABD130899,25.7,349.92
ABD130592,157.05,92.42
ABD131328,90.75,33.88
ABD134552,26.96,63.49
ABD134552,26.96,63.49
ABD131537,0,21.87
ABD131450,91.47,-8.39
ABD131450,91.47,-8.39
ABD131537,26.96,85.06
ABD132758,51.97,3.66
ABD131977,72.96,-14.52
ABD134222,145.2,163.35
ABD133243,88.39,579.59
ABD133243,88.39,579.59
ABD137379,104.05,129.38
ABD137379,104.05,129.38
ABD134376,135.13,-109.02
ABD134376,135.13,-109.02
ABD130888,0,-50.82
ABD130888,0,-50.82
ABD136390,27.23,130.68
ABD134585,23.87,86.27
ABD131922,120.1,-57.11
ABD132561,23.87,10.94
ABD130932,26.96,50.32
ABD130932,26.96,50.32
ABD133836,71.7,56.31
ABD133836,71.7,56.31
ABD132583,72,48
ABD131087,239.58,163.35
ABD130404,85.9,13.18
ABD130404,85.9,13.18
ABD136521,91.84,4.84
ABD136521,91.84,4.84
ABD135069,57.14,69.48
ABD132637,104.05,407.32
ABD132637,104.05,407.32
ABD133287,49.24,10.78
ABD133287,49.24,10.78
ABD134200,27.23,48.4
ABD134200,27.23,48.4
ABD134684,91.13,19.44
ABD134684,91.13,19.44
ABD134684,261.82,1516.67
ABD134684,261.82,1516.67
ABD133858,53.01,64.69
ABD133858,53.01,64.69
ABD131780,288.59,442.86
ABD133528,105.09,100.43
ABD132846,72.96,53.5
ABD133881,88.76,679.19
ABD133881,88.76,679.19
ABD130657,87.33,80.27
ABD130657,87.33,80.27
ABD136257,137.25,80.52
ABD130415,26.96,46.72
ABD130415,26.96,46.72
ABD130668,88.39,150.04
ABD130383,23.87,38.88
ABD133991,105.52,200.48
ABD130624,26.96,87.45
ABD130624,26.96,87.45
ABD130866,27.23,21.78
ABD130866,27.23,21.78
ABD134530,105.27,515.46
ABD134530,105.27,515.46
ABD132297,27.23,100.43
ABD132297,27.23,100.43
ABD135553,91.13,1.22
ABD135553,91.13,1.22
ABD137049,88.76,484.79
ABD134804,91.13,7.29
ABD131098,91.84,7.26
ABD131098,91.84,7.26
ABD131252,23.78,55.66
ABD135795,37.03,562.65
ABD130558,26.96,50.32
ABD130558,26.96,50.32
ABD132967,73.14,3.59
ABD132967,73.14,3.59
ABD136729,23.78,45.98
ABD131922,23.97,10.98
ABD131021,43.67,85.06
ABD131021,43.67,85.06
ABD136949,780.27,536.03
ABD131791,72.9,43.74
ABD130581,26.96,32.35
ABD130581,26.96,32.35
ABD132143,73.5,-1.2
ABD132143,73.5,-1.2
ABD131999,23.97,23.18
ABD131812,88.39,47.19
ABD135740,27.23,133.1
ABD135740,27.23,133.1
ABD133375,64.07,82.28
ABD132484,23.78,45.98
ABD134804,143.76,503.16
ABD134804,143.76,503.16
ABD133924,36.6,7.32
ABD131373,23.78,30.25
ABD136301,27.34,38.88
ABD136301,27.34,38.88
ABD130800,125.21,58.32
ABD130800,125.21,58.32
ABD133243,105.27,321.86
ABD133243,105.27,321.86
ABD135366,179.7,293.51
ABD135366,179.7,293.51
ABD131670,23.87,99.63
ABD130514,262.63,1531.86
ABD130217,88.76,193.19
ABD132583,95.42,25.16
ABD132583,95.42,25.16
ABD131878,72.6,48.4
ABD130152,62.72,5.99
ABD130152,62.72,5.99
ABD131670,87.12,31.59
ABD131670,87.12,31.59
ABD134398,127.05,18.15
ABD132770,143.43,-6.08
ABD136961,104.23,383.36
ABD136961,104.23,383.36
ABD130217,88.39,482.79
ABD130217,88.39,482.79
ABD134123,23.78,52.03
ABD136192,169.52,640.09
ABD131669,88.39,143.99
ABD131043,71.88,7.19
ABD131043,71.88,7.19
ABD135289,104.05,345.02
ABD135289,104.05,345.02
ABD136466,780.27,536.03
ABD136466,780.27,536.03
ABD132879,91.13,43.74
ABD132879,91.13,43.74
ABD133528,105.52,122.72
ABD134585,88.39,27.83
ABD130536,54.27,14.52
ABD130877,73.8,2.4
ABD132484,72.9,68.04
ABD132484,72.9,68.04
ABD130185,0,-3.65
ABD130185,0,-3.65
ABD132253,104.05,116.21
ABD132253,104.05,116.21
ABD131768,145.2,163.35
ABD132055,133.88,245.59
ABD132055,133.88,245.59
ABD132660,277.07,115.52
ABD130239,87.33,57.5
ABD130239,87.33,57.5
ABD136026,74.42,27.97
ABD134419,71.7,51.51
ABD134419,71.7,51.51
ABD133881,72.6,60.5
ABD133111,0,116.16
ABD130075,27.23,37.51
ABD130668,72.9,48.6
